Transaction Date,Transaction Type,Transaction Number,Transaction State,Details,Seller SKU,Jumia SKU,Amount,Statement Start Date,Statement End Date,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Tracking Number,Comment,Local Exchange rate,Country Code,Statement Number
2025-07-29 05:42:59,Commission,T2507290542593-D8OJ9,APPROVED,Water Pipes Plumbing Repair,YC-ZPM-shuiguangongsiqi,GE840IP56W82ONAFAMZ-462048963,-459.93,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,389356467,29302330,DELIVERED,,JE-FMQ-389356467-0143,  ,134.00,KE,PS250728KE141JJ
2025-07-28 07:27:42,Commission,T2507280727428-J3TMT,APPROVED,Arabic Metal Art Wall Sticker,KE-MSLQS-00001,GE840FD6M388INAFAMZ-441898746,-306.00,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,315586327,29226637,DELIVERED,,JE-KDR-315586327-5843,  ,134.00,KE,PS250728KE141JJ
2025-07-28 07:48:40,Item Price Credit,T2507280748406-3ZEFV,APPROVED,Arabic Metal Art Wall Sticker,KE-MSLQS-00001,GE840FD6M388INAFAMZ-441898746,1800.00,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,396123327,29273034,DELIVERED,,JE-KAB-396123327-4805,  ,134.00,KE,PS250728KE141JJ
2025-07-29 08:05:43,Outbound Fee,T2507290805435-JXRTT,APPROVED,Shark Fin Solar Warning Light For Car,KE-WL-00006,GE840IP53J3ZANAFAMZ-441920891,-26.80,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,345955467,29334712,DELIVERED,KE-Adams-Fleet,JG-NAI-345955467-8806,  ,134.00,KE,PS250728KE141JJ
2025-07-29 08:05:43,Item Price Credit,T2507290805434-SNBTZ,APPROVED,Shark Fin Solar Warning Light For Car,KE-WL-00006,GE840IP53J3ZANAFAMZ-441920891,1199.30,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,345955467,29334712,DELIVERED,KE-Adams-Fleet,JG-NAI-345955467-8806,  ,134.00,KE,PS250728KE141JJ
2025-07-29 09:13:44,Commission,T2507290913448-4CUWW,APPROVED,Shoulder Crossbody Bag,Ke-SCB-00010,GE840FC52WY7UNAFAMZ-442209896,-400.12,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,365175467,29334200,DELIVERED,,JE-NPT-365175467-4662,  ,134.00,KE,PS250728KE141JJ
2025-07-29 08:45:29,Outbound Fee,T2507290845295-4C2UT,APPROVED,Shoulder Crossbody Bag,Ke-SCB-00010,GE840FC52WY7UNAFAMZ-442209896,-107.20,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,395575467,29334578,DELIVERED,KE-Adams-Fleet,JE-NAI-395575467-4195,  ,134.00,KE,PS250728KE141JJ
2025-07-29 08:46:43,Outbound Fee,T2507290846430-WF9I6,APPROVED,Shoulder Crossbody Bag,Ke-SCB-00010,GE840FC52WY7UNAFAMZ-442209896,-107.20,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,316317467,29327739,RETURNED,,JE-NIF-316317467-2097,  ,134.00,KE,PS250728KE141JJ
2025-07-29 08:58:29,Item Price Credit,T2507290858296-8DRFG,APPROVED,Anti-theft Multi-purpose Large Capacity Oxford Cloth Lightweight Shoulder Bag,KE-WMBAG-00002,GE840FC5SETCMNAFAMZ-441914427,1997.94,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,366365467,29331550,DELIVERED,KE-Adams-Fleet,JE-NAI-366365467-7775,  ,134.00,KE,PS250728KE141JJ
2025-07-29 08:58:29,Commission,T2507290858295-KKV90,APPROVED,Anti-theft Multi-purpose Large Capacity Oxford Cloth Lightweight Shoulder Bag,KE-WMBAG-00002,GE840FC5SETCMNAFAMZ-441914427,-399.59,2025-07-27 21:00:00,2025-08-03 20:59:59,UNPAID,366365467,29331550,DELIVERED,KE-Adams-Fleet,JE-NAI-366365467-7775,  ,134.00,KE,PS250728KE141JJ
